trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.31999999999999973, 'e': 0.030197383422318508}",20,10,16.651816874669624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3179999999999997, 'e': 0.029451807369107283}",25,9,23.063855225680516,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3159999999999997, 'e': 0.028724639654239426}",25,3,-6.162405475684794,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.3139999999999997, 'e': 0.028015425774221815}",25,12,24.503450435793187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3119999999999997, 'e': 0.027323722447292562}",20,0,29.488284930716187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.3099999999999997, 'e': 0.026649097336355492}",20,9,23.81725734218555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3079999999999997, 'e': 0.02599112877875534}",20,10,20.206768592771425,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3059999999999997, 'e': 0.025349405522724938}",20,11,12.785998149721808,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.3039999999999997, 'e': 0.02472352647033939}",30,17,25.513178425377056,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3019999999999997, 'e': 0.02411310042681687}",30,14,25.293098099759526,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2999999999999997, 'e': 0.023517745856009114}",20,9,19.716432126776475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2979999999999997, 'e': 0.022937090641928923}",25,8,27.48910242343195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2959999999999997, 'e': 0.022370771856165594}",20,0,27.681581882162522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.2939999999999997, 'e': 0.02181843553104277}",20,6,8.008255803080077,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.2919999999999997, 'e': 0.021279736438377172}",35,17,31.602446472195638,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2899999999999997, 'e': 0.020754337873699746}",25,0,35.897438143188275,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.2879999999999997, 'e': 0.020241911445804384}",25,0,21.415468057020345,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.2859999999999997, 'e': 0.019742136871492778}",20,2,28.698399934481387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0.019254701775386924}",20,0,24.837043081897406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0.018779301494684403}",20,1,26.126175748329697,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0.018315638888734186}",25,4,33.18522820235454,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0.01786342415331404}",20,12,9.518821721653078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0.017422374639493518}",35,14,42.15606380142243,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0.01699221467696907}",20,0,34.15960088381125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0.01657267540176124}",20,10,22.04874049998933,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0.016163494588165878}",30,5,37.95989656893175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0.01576441648485449}",20,3,29.106757023929752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0.015375191655021436}",30,19,22.404819381003783,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
